module,key,en,ko,ja,zh-Hant,th,id,fr,de,es,it,pt,tr,ru,ar
auth,login_slogan,"Peace of Mind, Woven into Everyday Life.",일상에 스며드는 안심.,日常に溶け込む安心。,融入日常的安心。,ความอุ่นใจที่แทรกซึมในทุกวัน,Ketenangan yang Menyatu dalam Keseharian.,"La tranquillité d'esprit, tissée dans le quotidien.",Sicherheit im Alltag.,Tranquilidad en tu día a día.,"Serenità, intrecciata nella vita quotidiana.",Tranquilidade no seu dia a dia.,Günlük hayata dokunan huzur.,"Спокойствие, вплетённое в повседневность.",طمأنينة منسوجة في حياتك اليومية.
auth,login_brand_subtitle,Quietly connected peace of mind —\ncheck in on your day with comfort.,조용히 이어지는 안심으로\n하루를 편안하게 확인해 보세요.,静かにつながる安心で\n日常を穏やかに確認しましょう。,靜靜連結的安心\n輕鬆確認您的每一天。,ความอุ่นใจที่เชื่อมต่ออย่างเงียบๆ\nตรวจสอบวันของคุณอย่างสบายใจ,Ketenangan yang terhubung dengan tenang —\nperiksa hari Anda dengan nyaman.,Une tranquillité connectée en silence —\nvérifiez votre journée en toute sérénité.,Leise verbundene Sicherheit —\nüberprüfen Sie Ihren Tag in aller Ruhe.,Tranquilidad conectada en silencio —\nrevisa tu día con comodidad.,Serenità connessa in silenzio —\ncontrolla la tua giornata con tranquillità.,Tranquilidade conectada silenciosamente —\nconfira seu dia com conforto.,Sessizce bağlanan huzur —\ngününüzü rahatlıkla kontrol edin.,Тихое спокойствие —\nпроверяйте свой день с комфортом.,طمأنينة متصلة بهدوء —\nتفقّد يومك براحة.
auth,login_subtitle,"To keep watch by your side, please sign in to your account first.",곁에서 안심을 돕기 위해 먼저 계정에 연결해 주세요.,そばで見守るために、まずアカウントにログインしてください。,為了在您身旁守護，請先登入帳號。,เพื่อดูแลคุณอย่างใกล้ชิด กรุณาเข้าสู่ระบบก่อน,Untuk menemani Anda dengan tenang silakan masuk terlebih dahulu.,Pour veiller sur vous connectez-vous d'abord à votre compte.,"Um stets an Ihrer Seite zu sein, melden Sie sich bitte zuerst an.",Para acompañarte con tranquilidad inicia sesión en tu cuenta.,Per vegliare al tuo fianco accedi prima al tuo account.,Para cuidar de você entre na sua conta primeiro.,Yanınızda olmak için lütfen önce hesabınıza giriş yapın.,"Чтобы быть рядом, пожалуйста, войдите в свой аккаунт.",لنكون بجانبك، يرجى تسجيل الدخول أولاً.
auth,login_no_account,Don't have an account?,아직 계정이 없으신가요?,アカウントをお持ちでないですか？,還沒有帳號？,ยังไม่มีบัญชี?,Belum punya akun?,Pas encore de compte ?,Noch kein Konto?,¿No tienes cuenta?,Non hai un account?,Não tem uma conta?,Hesabınız yok mu?,Нет аккаунта?,ليس لديك حساب؟
auth,login_signup_cta,Sign up,가입하기,新規登録,註冊,สมัคร,Daftar,S'inscrire,Registrieren,Registrarse,Registrati,Cadastrar-se,Kaydol,Зарегистрироваться,إنشاء حساب
auth,# Signup Page,,,,,,,,,,,,,,
auth,signup_title,Sign up,회원가입,新規登録,註冊,สมัครสมาชิก,Daftar,Inscription,Registrierung,Registro,Registrazione,Cadastro,Kayıt,Регистрация,إنشاء حساب
auth,signup_verify,Verify,인증,認証,驗證,ยืนยัน,Verifikasi,Vérifier,Verifizieren,Verificar,Verifica,Verificar,Doğrula,Подтвердить,تحقق
auth,signup_resend,Resend,재발송,再送信,重新發送,ส่งอีกครั้ง,Kirim ulang,Renvoyer,Erneut senden,Reenviar,Rinvia,Reenviar,Tekrar gönder,Отправить снова,إعادة الإرسال
auth,signup_verified,Verified,인증완료,認証完了,已驗證,ยืนยันแล้ว,Terverifikasi,Vérifié,Verifiziert,Verificado,Verificato,Verificado,Doğrulandı,Подтверждено,تم التحقق
auth,signup_resend_countdown,Resend ({{seconds}}s),다시 보내기 ({{seconds}}초),再送信 ({{seconds}}秒),重新發送 ({{seconds}}秒),ส่งอีกครั้ง ({{seconds}} วินาที),Kirim ulang ({{seconds}} dtk),Renvoyer ({{seconds}}s),Erneut senden ({{seconds}}s),Reenviar ({{seconds}}s),Rinvia ({{seconds}}s),Reenviar ({{seconds}}s),Tekrar gönder ({{seconds}}sn),Повторить ({{seconds}}с),إعادة الإرسال ({{seconds}} ثانية)
auth,signup_resend_ready,"If the email hasn't arrived, tap Resend.","메일이 도착하지 않았다면, 재발송 버튼을 눌러 주세요.",メールが届かない場合は、再送信ボタンを押してください。,若未收到郵件，請按重新發送按鈕。,หากยังไม่ได้รับอีเมล กดส่งอีกครั้ง,"Jika email belum diterima, tekan Kirim ulang.","Si l'e-mail n'est pas arrivé, appuyez sur Renvoyer.","Falls die E-Mail nicht angekommen ist, drücken Sie Erneut senden.","Si no ha recibido el correo, pulse Reenviar.","Se l'e-mail non è arrivata, premi Rinvia.","Se o e-mail não chegou, toque em Reenviar.","E-posta gelmediyse, Tekrar gönder düğmesine basın.","Если письмо не пришло, нажмите Отправить снова.",إذا لم يصل البريد، اضغط على إعادة الإرسال.
auth,signup_terms_of_service,Agree to Terms of Service (required),이용약관 동의 (필수),利用規約に同意（必須）,同意服務條款（必填）,ยอมรับข้อกำหนดการใช้งาน (จำเป็น),Setuju dengan Ketentuan Layanan (wajib),Accepter les Conditions d'utilisation (requis),Nutzungsbedingungen zustimmen (erforderlich),Aceptar los Términos de Servicio (obligatorio),Accetta i Termini di Servizio (obbligatorio),Concordar com os Termos de Serviço (obrigatório),Kullanım Koşullarını kabul et (zorunlu),Принять Условия использования (обязательно),الموافقة على شروط الخدمة (مطلوب)
auth,signup_privacy_policy,Agree to Privacy Policy (required),개인정보 처리방침 동의 (필수),プライバシーポリシーに同意（必須）,同意隱私權政策（必填）,ยอมรับนโยบายความเป็นส่วนตัว (จำเป็น),Setuju dengan Kebijakan Privasi (wajib),Accepter la Politique de confidentialité (requis),Datenschutzrichtlinie zustimmen (erforderlich),Aceptar la Política de Privacidad (obligatorio),Accetta l'Informativa sulla Privacy (obbligatorio),Concordar com a Política de Privacidade (obrigatório),Gizlilik Politikasını kabul et (zorunlu),Принять Политику конфиденциальности (обязательно),الموافقة على سياسة الخصوصية (مطلوب)
auth,signup_marketing,Agree to marketing communications (optional),마케팅 수신 동의 (선택),マーケティング情報の受信に同意（任意）,同意行銷通知（選填）,ยอมรับการรับข่าวสารการตลาด (ไม่บังคับ),Setuju menerima komunikasi pemasaran (opsional),Accepter les communications marketing (facultatif),Marketing-Mitteilungen zustimmen (optional),Aceptar comunicaciones de marketing (opcional),Accetta le comunicazioni di marketing (facoltativo),Concordar com comunicações de marketing (opcional),Pazarlama iletişimlerini kabul et (isteğe bağlı),Согласие на маркетинговые рассылки (необязательно),الموافقة على الاتصالات التسويقية (اختياري)
auth,signup_has_account,Already have an account?,이미 계정이 있으신가요?,すでにアカウントをお持ちですか？,已經有帳號了？,มีบัญชีอยู่แล้ว?,Sudah punya akun?,Vous avez déjà un compte ?,Bereits ein Konto?,¿Ya tienes cuenta?,Hai già un account?,Já tem uma conta?,Zaten hesabınız var mı?,Уже есть аккаунт?,لديك حساب بالفعل؟
auth,signup_login_cta,Log in,로그인,ログイン,登入,เข้าสู่ระบบ,Masuk,Se connecter,Anmelden,Iniciar sesión,Accedi,Entrar,Giriş yap,Войти,تسجيل الدخول
auth,signup_success,Sign up complete!,가입이 완료되었습니다.,登録が完了しました。,註冊完成！,สมัครสมาชิกเรียบร้อย!,Pendaftaran selesai!,Inscription terminée !,Registrierung abgeschlossen!,¡Registro completado!,Registrazione completata!,Cadastro concluído!,Kayıt tamamlandı!,Регистрация завершена!,تم التسجيل بنجاح!
auth,# Social Consent Page,,,,,,,,,,,,,,
auth,consent_title,Almost there!,거의 다 왔어요!,あと少しです！,就快完成了！,เกือบเสร็จแล้ว!,Hampir selesai!,Presque terminé !,Fast geschafft!,¡Ya casi está!,Ci siamo quasi!,Quase lá!,Neredeyse tamam!,Почти готово!,أوشكت على الانتهاء!
auth,consent_subtitle,Please agree to the terms to use the service.,서비스 이용을 위해 약관에 동의해 주세요.,サービスのご利用には利用規約への同意が必要です。,請同意條款以使用服務。,กรุณายอมรับข้อกำหนดเพื่อใช้บริการ,Silakan setujui ketentuan untuk menggunakan layanan.,Veuillez accepter les conditions pour utiliser le service.,Bitte stimmen Sie den Bedingungen zu.,Por favor acepta los términos para usar el servicio.,Accetta i termini per utilizzare il servizio.,Aceite os termos para usar o serviço.,Hizmeti kullanmak için koşulları kabul edin.,Пожалуйста примите условия для использования сервиса.,يرجى الموافقة على الشروط لاستخدام الخدمة.
auth,consent_brand_body,"For safe use of the service,\na simple agreement is needed.",안전한 서비스 이용을 위해\n간단한 약관 동의가 필요해요.,安全にサービスをご利用いただくため\n簡単な利用規約への同意が必要です。,為了安全使用服務，\n需要簡單的條款同意。,เพื่อการใช้งานที่ปลอดภัย\nต้องยอมรับข้อกำหนดง่ายๆ,"Untuk penggunaan layanan yang aman,\ndiperlukan persetujuan sederhana.","Pour une utilisation sûre du service,\nun simple accord est nécessaire.",Für eine sichere Nutzung des Dienstes\nist eine einfache Zustimmung erforderlich.,"Para un uso seguro del servicio,\nse necesita un acuerdo simple.","Per un utilizzo sicuro del servizio,\nè necessario un semplice accordo.","Para uso seguro do serviço,\num acordo simples é necessário.",Hizmetin güvenli kullanımı için\nbasit bir onay gereklidir.,Для безопасного использования сервиса\nнеобходимо простое согласие.,لاستخدام الخدمة بأمان،\nيلزم موافقة بسيطة.
auth,consent_terms,Terms of Service agreement (required),이용약관 동의 (필수),利用規約への同意（必須）,服務條款同意（必填）,ยอมรับข้อกำหนดการใช้งาน (จำเป็น),Persetujuan Ketentuan Layanan (wajib),Accord des conditions d'utilisation (requis),Nutzungsbedingungen zustimmen (erforderlich),Acuerdo de términos de servicio (obligatorio),Accordo termini di servizio (obbligatorio),Acordo dos termos de serviço (obrigatório),Kullanım koşulları onayı (zorunlu),Согласие с условиями использования (обязательно),الموافقة على شروط الخدمة (مطلوب)
auth,consent_privacy,Privacy Policy agreement (required),개인정보 처리방침 동의 (필수),プライバシーポリシーへの同意（必須）,隱私權政策同意（必填）,ยอมรับนโยบายความเป็นส่วนตัว (จำเป็น),Persetujuan Kebijakan Privasi (wajib),Accord de politique de confidentialité (requis),Datenschutzrichtlinie zustimmen (erforderlich),Acuerdo de política de privacidad (obligatorio),Accordo informativa privacy (obbligatorio),Acordo da política de privacidade (obrigatório),Gizlilik politikası onayı (zorunlu),Согласие с политикой конфиденциальности (обязательно),الموافقة على سياسة الخصوصية (مطلوب)
auth,consent_marketing,Marketing communications agreement (optional),마케팅 수신 동의 (선택),マーケティング情報の受信（任意）,行銷資訊接收同意（選填）,ยอมรับการรับข้อมูลทางการตลาด (ไม่บังคับ),Persetujuan komunikasi pemasaran (opsional),Accord communications marketing (facultatif),Marketing-Mitteilungen zustimmen (optional),Acuerdo de comunicaciones de marketing (opcional),Accordo comunicazioni marketing (facoltativo),Acordo de comunicações de marketing (opcional),Pazarlama iletişimleri onayı (isteğe bağlı),Согласие на маркетинговые сообщения (необязательно),الموافقة على الاتصالات التسويقية (اختياري)
auth,consent_start,Get started,시작하기,始める,開始使用,เริ่มต้นใช้งาน,Mulai,Commencer,Loslegen,Comenzar,Inizia,Começar,Başla,Начать,ابدأ الآن
auth,# Placeholders,,,,,,,,,,,,,,
auth,placeholder_email,Enter your email,이메일을 입력해 주세요,メールアドレスを入力,請輸入電子郵件,กรอกอีเมลของคุณ,Masukkan email Anda,Entrez votre e-mail,E-Mail eingeben,Ingresa tu correo,Inserisci la tua e-mail,Insira seu e-mail,E-postanızı girin,Введите эл. почту,أدخل بريدك الإلكتروني
auth,placeholder_nickname,Enter your nickname,닉네임을 입력해 주세요,ニックネームを入力,請輸入暱稱,กรอกชื่อเล่นของคุณ,Masukkan nama panggilan,Entrez votre pseudo,Spitznamen eingeben,Ingresa tu apodo,Inserisci il tuo soprannome,Insira seu apelido,Takma adınızı girin,Введите никнейм,أدخل الكنية
auth,# OAuth Buttons,,,,,,,,,,,,,,
auth,oauth_google,Continue with Google,Google로 계속하기,Googleで続ける,使用 Google 繼續,ดำเนินการต่อด้วย Google,Lanjutkan dengan Google,Continuer avec Google,Weiter mit Google,Continuar con Google,Continua con Google,Continuar com Google,Google ile devam et,Продолжить с Google,المتابعة عبر Google
auth,oauth_apple,Continue with Apple,Apple로 계속하기,Appleで続ける,使用 Apple 繼續,ดำเนินการต่อด้วย Apple,Lanjutkan dengan Apple,Continuer avec Apple,Weiter mit Apple,Continuar con Apple,Continua con Apple,Continuar com Apple,Apple ile devam et,Продолжить с Apple,المتابعة عبر Apple
auth,# Consent (Step 3 dedicated screen — v2.2),,,,,,,,,,,,,,
auth,consent_header,One last step — let's check our promise together.,"마지막으로, 약속을 함께 확인해 주세요.",最後にひとつ、お約束をご一緒に確認させてください。,最後一步，讓我們一起確認彼此的約定。,อีกขั้นตอนสุดท้าย มาตรวจสอบสัญญาของเราด้วยกัน,Satu langkah terakhir — mari kita periksa janji kita bersama.,Une dernière étape — confirmons notre promesse ensemble.,Ein letzter Schritt — lassen Sie uns unser Versprechen gemeinsam bestätigen.,Un último paso — confirmemos juntos nuestra promesa.,Un ultimo passo — confermiamo insieme la nostra promessa.,Mais um passo — vamos confirmar juntos o nosso combinado.,Son bir adım — söz verdiğimiz şeyleri birlikte gözden geçirelim.,Последний шаг — давайте вместе сверим наши обещания.,خطوة أخيرة — لنراجع وعدنا معًا.
auth,consent_header_subtitle,"A quick look at how Ailom will be by your side, safely.",Ailom이 어떻게 안심하게 함께할지 미리 알려드릴게요.,Ailomがどのように安心してそばにいるかを少しだけお伝えします。,讓我們先告訴您 Ailom 將如何安心陪伴您。,เราจะบอกให้คุณรู้ว่า Ailom จะอยู่เคียงข้างคุณอย่างปลอดภัยอย่างไร,"Sekilas tentang bagaimana Ailom akan menemani Anda, dengan aman.","Un aperçu de la façon dont Ailom restera à vos côtés, en toute sérénité.","Ein kurzer Blick darauf, wie Ailom sicher an Ihrer Seite ist.","Una mirada rápida a cómo Ailom estará a tu lado, con tranquilidad.","Una breve panoramica su come Ailom sarà al tuo fianco, in sicurezza.","Uma rápida prévia de como o Ailom estará ao seu lado, com tranquilidade.",Ailom'un yanınızda nasıl güvenle olacağına kısa bir bakış.,"Краткий обзор того, как Ailom будет рядом с вами — спокойно и надёжно.",نظرة سريعة على كيف سيكون Ailom بجانبك بأمان.
auth,consent_label_terms,[Required] Terms of Service,[필수] 이용약관,[必須] 利用規約,[必填] 服務條款,[จำเป็น] ข้อกำหนดการให้บริการ,[Wajib] Ketentuan Layanan,[Obligatoire] Conditions d'utilisation,[Erforderlich] Nutzungsbedingungen,[Obligatorio] Términos del Servicio,[Obbligatorio] Termini del Servizio,[Obrigatório] Termos de Serviço,[Zorunlu] Hizmet Koşulları,[Обязательно] Условия использования,[إلزامي] شروط الخدمة
auth,consent_label_privacy,[Required] Privacy Policy,[필수] 개인정보 처리방침,[必須] プライバシーポリシー,[必填] 隱私權政策,[จำเป็น] นโยบายความเป็นส่วนตัว,[Wajib] Kebijakan Privasi,[Obligatoire] Politique de confidentialité,[Erforderlich] Datenschutzrichtlinie,[Obligatorio] Política de Privacidad,[Obbligatorio] Informativa sulla Privacy,[Obrigatório] Política de Privacidade,[Zorunlu] Gizlilik Politikası,[Обязательно] Политика конфиденциальности,[إلزامي] سياسة الخصوصية
auth,consent_label_age_14,[Required] I am 18 years of age or older,[필수] 만 18세 이상입니다,[必須] 18歳以上です,[必填] 我已滿 18 歲,[จำเป็น] ฉันมีอายุ 18 ปีขึ้นไป,[Wajib] Saya berusia 18 tahun atau lebih,[Obligatoire] J'ai 18 ans ou plus,[Erforderlich] Ich bin 18 Jahre oder älter,[Obligatorio] Tengo 18 años o más,[Obbligatorio] Ho 18 anni o più,[Obrigatório] Tenho 18 anos ou mais,[Zorunlu] 18 yaşında veya daha büyüğüm,[Обязательно] Мне 18 лет или больше,[إلزامي] عمري 18 عاماً أو أكثر
auth,consent_label_marketing,[Optional] Marketing notifications,[선택] 마케팅 알림 수신,[任意] マーケティングのお知らせ,[選填] 行銷通知,[ไม่บังคับ] รับข่าวสารการตลาด,[Opsional] Notifikasi pemasaran,[Facultatif] Notifications marketing,[Optional] Marketing-Benachrichtigungen,[Opcional] Notificaciones de marketing,[Facoltativo] Notifiche di marketing,[Opcional] Notificações de marketing,[İsteğe bağlı] Pazarlama bildirimleri,[Необязательно] Маркетинговые уведомления,[اختياري] إشعارات التسويق
auth,consent_toggle_all,Agree to all (including optional),전체 동의 (선택 항목 포함),すべてに同意（任意項目を含む）,全部同意（包含選填項目）,ยอมรับทั้งหมด (รวมถึงรายการไม่บังคับ),Setuju semua (termasuk opsional),Tout accepter (y compris les options facultatives),Allem zustimmen (auch optionalen),Aceptar todo (incluido lo opcional),Accetta tutto (anche le opzionali),Concordar com tudo (incluindo opcionais),Tümünü kabul et (isteğe bağlılar dahil),Согласиться со всем (включая необязательное),الموافقة على الكل (بما في ذلك الاختياري)
auth,consent_view_link,View,보기,表示,查看,ดูรายละเอียด,Lihat,Voir,Ansehen,Ver,Visualizza,Ver,Görüntüle,Посмотреть,عرض
auth,consent_marketing_helper,"Optional. Even if you skip this, your service experience stays the same.","선택 사항이며, 동의하지 않으셔도 서비스 이용에는 영향이 없어요.",任意項目です。ご同意いただかなくても、サービスのご利用に影響はありません。,為選填項目，即使不同意也不影響您的服務使用體驗。,ไม่บังคับ แม้คุณจะไม่ยอมรับ การใช้งานบริการก็ยังคงเหมือนเดิม,"Opsional. Meski Anda tidak menyetujuinya, pengalaman layanan Anda tetap sama.","Facultatif. Même si vous passez cette étape, votre expérience reste inchangée.","Optional. Auch wenn Sie das überspringen, bleibt Ihr Service-Erlebnis gleich.","Opcional. Aunque lo omitas, tu experiencia con el servicio sigue igual.","Facoltativo. Anche se la salti, la tua esperienza con il servizio resta la stessa.","Opcional. Mesmo que você pule, sua experiência com o serviço continua a mesma.",İsteğe bağlı. Bunu atlasanız da hizmet deneyiminiz aynı kalır.,"Необязательно. Даже если пропустите, ваш опыт пользования сервисом останется прежним.",اختياري. حتى إن تخطيت هذا، تجربتك مع الخدمة تبقى كما هي.
auth,consent_age_14_blocked,Ailom is available to those 18 and older. We'll add a way for younger family members to use it together with you soon.,Ailom은 만 18세 이상부터 이용하실 수 있어요. 가족 중 18세 미만인 분이 함께 쓰실 수 있도록 곧 별도의 방법을 마련할게요.,Ailomは18歳以上の方からご利用いただけます。ご家族の中で18歳未満の方も一緒にお使いいただけるよう、近く別の方法をご用意します。,Ailom 適合 18 歲以上的使用者。我們將很快推出讓 18 歲以下家人能一同使用的方式。,Ailom พร้อมให้บริการสำหรับผู้ที่มีอายุ 18 ปีขึ้นไป เราจะเตรียมวิธีให้คนในครอบครัวที่อายุน้อยกว่านี้ใช้งานร่วมกับคุณได้ในเร็วๆ นี้,Ailom tersedia untuk usia 18 tahun ke atas. Sebentar lagi kami akan menyiapkan cara agar anggota keluarga yang lebih muda dapat menggunakannya bersama Anda.,Ailom est accessible à partir de 18 ans. Nous prévoyons bientôt un moyen pour que les membres plus jeunes de votre famille puissent l'utiliser avec vous.,"Ailom ist für Personen ab 18 Jahren verfügbar. In Kürze richten wir einen Weg ein, damit jüngere Familienmitglieder es gemeinsam mit Ihnen nutzen können.",Ailom está disponible para personas de 18 años o más. Pronto añadiremos una forma para que los miembros más jóvenes de la familia puedan usarlo contigo.,Ailom è disponibile per chi ha 18 anni o più. Presto offriremo un modo perché anche i familiari più giovani possano usarlo con te.,O Ailom está disponível para pessoas com 18 anos ou mais. Em breve vamos abrir um caminho para que familiares mais jovens possam usá-lo com você.,Ailom 18 yaş ve üzeri için kullanıma uygundur. Ailenizdeki daha küçük üyelerin de sizinle birlikte kullanabilmesi için yakında ayrı bir yol sunacağız.,"Ailom доступен с 18 лет. Скоро мы добавим способ, чтобы младшие члены семьи могли пользоваться им вместе с вами.",‏Ailom متاح لمن أعمارهم 18 سنة فما فوق. سنوفر قريباً طريقة ليتمكن أفراد العائلة الأصغر من استخدامه معك.
auth,consent_required_hint,"Please agree to the required items, then we can continue.",필수 항목에 동의해 주시면 이어서 진행할 수 있어요.,必須項目にご同意いただけましたら、続きにお進みいただけます。,請先同意必要項目，我們就可以繼續。,กรุณายอมรับรายการที่จำเป็น แล้วเราจะดำเนินการต่อ,Silakan setujui item yang wajib agar kita bisa melanjutkan.,Acceptez les éléments obligatoires et nous pourrons poursuivre.,"Bitte stimmen Sie den erforderlichen Punkten zu, dann können wir fortfahren.",Acepta los elementos obligatorios y podremos continuar.,Accetta gli elementi obbligatori e potremo proseguire.,Aceite os itens obrigatórios e poderemos continuar.,"Gerekli maddeleri onaylayın, ardından devam edebiliriz.","Согласитесь, пожалуйста, с обязательными пунктами, и мы сможем продолжить.",يرجى الموافقة على البنود المطلوبة لكي نتمكن من المتابعة.
auth,consent_complete_cta,Agree and get started,동의하고 시작하기,同意して始める,同意並開始,ยอมรับและเริ่มต้น,Setujui dan mulai,Accepter et commencer,Zustimmen und starten,Aceptar y empezar,Accetta e inizia,Aceitar e começar,Kabul et ve başla,Принять и начать,الموافقة والبدء
auth,signup_consent_cta,Agree and get started,동의하고 시작하기,同意して始める,同意並開始,ยอมรับและเริ่มต้น,Setujui dan mulai,Accepter et commencer,Zustimmen und starten,Aceptar y empezar,Accetta e inizia,Aceitar e começar,Kabul et ve başla,Принять и начать,الموافقة والبدء
auth,# Consent renewal (F6 modal),,,,,,,,,,,,,,
auth,consent_renewal_heading,Let's check our agreement again,약속을 다시 한 번 확인해 주세요,お約束をもう一度ご確認ください,讓我們再次確認彼此的約定,มาตรวจสอบข้อตกลงของเราอีกครั้ง,Mari kita periksa kesepakatan kita sekali lagi,Vérifions notre accord une nouvelle fois,Lassen Sie uns unsere Vereinbarung erneut bestätigen,Repasemos nuestro acuerdo una vez más,Riguardiamo insieme il nostro accordo,Vamos confirmar nosso combinado mais uma vez,Anlaşmamızı bir kez daha gözden geçirelim,Давайте ещё раз сверим наши договорённости,لنراجع اتفاقنا مرة أخرى
auth,consent_renewal_body,We've updated Ailom's {types}. Please take a look at what's new and agree once more.,Ailom의 {types}이(가) 새로워졌어요. 변경된 내용을 확인하시고 다시 한 번 동의해 주세요.,Ailomの{types}が新しくなりました。変更内容をご確認のうえ、もう一度ご同意ください。,Ailom 的 {types} 已更新，請查看變更內容並再次同意。,Ailom {types} ของเรามีการปรับปรุง กรุณาดูสิ่งที่เปลี่ยนแปลงและยืนยันความยินยอมอีกครั้ง,{types} milik Ailom telah diperbarui. Silakan lihat perubahannya dan setujui sekali lagi.,Les {types} d'Ailom ont été mis à jour. Veuillez consulter les nouveautés et donner votre accord à nouveau.,Ailoms {types} wurde aktualisiert. Bitte sehen Sie sich das Neue an und stimmen Sie noch einmal zu.,Hemos actualizado los {types} de Ailom. Echa un vistazo a las novedades y vuelve a dar tu consentimiento.,I {types} di Ailom sono stati aggiornati. Dai un'occhiata alle novità e dai di nuovo il tuo consenso.,Atualizamos os {types} do Ailom. Veja o que mudou e dê seu consentimento novamente.,Ailom'un {types} güncellendi. Yeniliklere göz atıp bir kez daha onay verin.,"Мы обновили {types} в Ailom. Посмотрите, пожалуйста, что нового, и подтвердите согласие ещё раз.",تم تحديث {types} الخاصة بـ Ailom. يرجى الاطلاع على ما هو جديد والموافقة مرة أخرى.
auth,consent_renewal_changed_label,What's changed,변경된 항목,変更された項目,變更項目,รายการที่เปลี่ยนแปลง,Yang berubah,Ce qui a changé,Was sich geändert hat,Lo que ha cambiado,Cosa è cambiato,O que mudou,Neler değişti,Что изменилось,التغييرات
auth,consent_renewal_confirm_button,Read and agree,확인하고 동의,確認して同意,確認並同意,อ่านและยอมรับ,Baca dan setujui,Lire et accepter,Lesen und zustimmen,Leer y aceptar,Leggi e accetta,Ler e aceitar,Oku ve onayla,Прочитать и согласиться,اقرأ ووافق
auth,consent_renewal_dismiss_button,Later,다음에,あとで,稍後再說,ไว้ทีหลัง,Nanti,Plus tard,Später,Más tarde,Più tardi,Mais tarde,Sonra,Позже,لاحقاً
