module,key,en,ko,ja,zh-Hant,th,id,fr,de,es,it,pt,tr,ru,ar
error,# General HTTP errors,,,,,,,,,,,,,,
error,validation_error,Please check your input and try again.,입력 내용을 한 번 더 확인해 주세요.,入力内容をもう一度ご確認ください。,請再次確認您輸入的內容。,กรุณาตรวจสอบข้อมูลที่กรอกอีกครั้ง,Silakan periksa kembali isian Anda.,Veuillez vérifier votre saisie et réessayer.,Bitte überprüfen Sie Ihre Eingabe und versuchen Sie es erneut.,Revisa lo que escribiste e inténtalo de nuevo.,Controlla i dati inseriti e riprova.,Verifique o que digitou e tente de novo.,Lütfen girdiğiniz bilgiyi kontrol edip tekrar deneyin.,"Пожалуйста, проверьте введённые данные и попробуйте ещё раз.",يرجى التحقق من المدخلات والمحاولة مرة أخرى.
error,unauthorized,Please sign in to continue.,안심하게 들어오시려면 로그인이 필요해요.,安心してお進みいただくにはサインインが必要です。,請先登入即可繼續。,กรุณาเข้าสู่ระบบเพื่อดำเนินการต่อ,Silakan masuk untuk melanjutkan.,Veuillez vous connecter pour continuer.,"Bitte melden Sie sich an, um fortzufahren.",Inicia sesión para continuar.,Accedi per continuare.,Entre para continuar.,Devam etmek için lütfen giriş yapın.,"Войдите, чтобы продолжить.",يرجى تسجيل الدخول للمتابعة.
error,forbidden,You don't have access to this.,이 곳에는 접근하실 수 없어요.,こちらにはアクセスいただけません。,您沒有權限存取此處。,คุณไม่สามารถเข้าถึงส่วนนี้ได้,Anda tidak memiliki akses ke ini.,Vous n'avez pas accès à cette page.,Sie haben hierauf keinen Zugriff.,No tienes acceso a esto.,Non hai accesso a questa sezione.,Você não tem acesso a isto.,Buraya erişim izniniz yok.,У вас нет доступа сюда.,لا تملك صلاحية الوصول إلى هذا.
error,not_found,We couldn't find what you're looking for.,찾으시는 내용이 보이지 않아요.,お探しの内容が見つかりませんでした。,找不到您要的內容。,ไม่พบสิ่งที่คุณกำลังหาอยู่,Kami tidak menemukan yang Anda cari.,Nous n'avons pas trouvé ce que vous cherchez.,"Wir konnten nicht finden, wonach Sie suchen.",No encontramos lo que buscas.,Non abbiamo trovato ciò che cerchi.,Não encontramos o que você procura.,Aradığınızı bulamadık.,"Мы не нашли то, что вы ищете.",لم نتمكن من العثور على ما تبحث عنه.
error,internal_server_error,Something went off course. Please try again shortly.,잠시 길을 잃었어요. 잠시 후 다시 시도해 주세요.,少しの間うまくいきませんでした。少し時間をおいて、もう一度お試しください。,我們暫時走偏了，請稍後再試一次。,เกิดความผิดพลาดเล็กน้อย กรุณาลองอีกครั้งในอีกสักครู่,Ada yang sedikit melenceng. Silakan coba lagi sebentar.,Quelque chose s'est légèrement écarté. Veuillez réessayer dans un instant.,Etwas ist kurz aus dem Tritt geraten. Bitte versuchen Sie es gleich erneut.,Algo se salió de curso. Inténtalo de nuevo en un momento.,Qualcosa è uscito dai binari. Riprova tra poco.,Algo saiu do caminho. Tente novamente em breve.,Bir şey rotadan çıktı. Lütfen az sonra tekrar deneyin.,"Что-то пошло не так. Попробуйте, пожалуйста, чуть позже.",حدث خلل بسيط. يرجى المحاولة بعد قليل.
error,rate_limit_exceeded,A lot of requests are coming in. Please try again shortly.,요청이 많이 들어오고 있어요. 잠시 후 다시 시도해 주세요.,リクエストが多く届いています。少し時間をおいてもう一度お試しください。,目前請求較多，請稍後再試一次。,มีคำขอเข้ามาจำนวนมาก กรุณาลองอีกครั้งในอีกสักครู่,Sedang banyak permintaan masuk. Silakan coba lagi sebentar.,Beaucoup de demandes arrivent en ce moment. Veuillez réessayer dans un instant.,Es kommen gerade viele Anfragen herein. Bitte versuchen Sie es gleich erneut.,Estamos recibiendo muchas solicitudes. Inténtalo de nuevo en un momento.,Stiamo ricevendo molte richieste. Riprova tra poco.,Estamos recebendo muitas solicitações. Tente novamente em breve.,Şu an çok sayıda istek geliyor. Lütfen az sonra tekrar deneyin.,"Сейчас поступает много запросов. Попробуйте, пожалуйста, чуть позже.",تصلنا الكثير من الطلبات حاليًا. يرجى المحاولة بعد قليل.
error,session_expired,Your sign-in expired. Please sign in again to continue safely.,로그인이 만료되었어요. 다시 들어오시면 이어가실 수 있어요.,サインインの有効期限が切れました。再度サインインいただけば、そのまま続けられます。,登入已過期，請再次登入即可繼續。,การเข้าสู่ระบบหมดอายุแล้ว กรุณาเข้าสู่ระบบใหม่เพื่อดำเนินการต่ออย่างปลอดภัย,Sesi masuk Anda berakhir. Silakan masuk lagi untuk melanjutkan dengan aman.,Votre session a expiré. Veuillez vous reconnecter pour poursuivre en toute sérénité.,"Ihre Anmeldung ist abgelaufen. Bitte melden Sie sich erneut an, um sicher fortzufahren.",Tu sesión expiró. Inicia sesión de nuevo para continuar con tranquilidad.,L'accesso è scaduto. Effettua di nuovo l'accesso per continuare in sicurezza.,Seu acesso expirou. Entre novamente para continuar com segurança.,Oturum süreniz doldu. Güvenle devam etmek için lütfen tekrar giriş yapın.,"Сессия истекла. Войдите снова, чтобы продолжить безопасно.",انتهت جلستك. يرجى تسجيل الدخول مرة أخرى للمتابعة بأمان.
error,# OTP errors,,,,,,,,,,,,,,
error,invalid_code,That code doesn't match. Please check and try once more.,코드가 맞지 않아요. 다시 한 번 확인해 주세요.,コードが一致しません。もう一度ご確認ください。,驗證碼不一致，請再次確認。,รหัสไม่ตรงกัน กรุณาตรวจสอบอีกครั้ง,Kode tidak cocok. Silakan periksa sekali lagi.,Ce code ne correspond pas. Veuillez vérifier et réessayer.,Der Code stimmt nicht. Bitte überprüfen Sie ihn und versuchen Sie es erneut.,Ese código no coincide. Revísalo e inténtalo de nuevo.,Il codice non coincide. Controlla e riprova.,Esse código não confere. Verifique e tente outra vez.,Bu kod uyuşmuyor. Lütfen kontrol edip tekrar deneyin.,Этот код не совпадает. Проверьте и попробуйте ещё раз.,هذا الرمز غير مطابق. يرجى التحقق والمحاولة مرة أخرى.
error,code_expired,This code can no longer be used. Please request a new one.,이 코드는 더 이상 쓸 수 없어요. 새 코드를 다시 받아 주세요.,このコードはもうご利用いただけません。新しいコードを取得してください。,此驗證碼已無法使用，請重新取得新的驗證碼。,รหัสนี้ใช้ไม่ได้อีกแล้ว กรุณาขอรหัสใหม่,Kode ini tidak bisa digunakan lagi. Silakan minta kode baru.,Ce code ne peut plus être utilisé. Veuillez en demander un nouveau.,Dieser Code kann nicht mehr verwendet werden. Bitte fordern Sie einen neuen an.,Este código ya no puede usarse. Solicita uno nuevo.,Questo codice non può più essere usato. Richiedine uno nuovo.,Este código não pode mais ser usado. Solicite um novo.,Bu kod artık kullanılamaz. Lütfen yeni bir kod isteyin.,"Этот код больше не действителен. Запросите, пожалуйста, новый.",لم يعد بالإمكان استخدام هذا الرمز. يرجى طلب رمز جديد.
error,invalid_token,This link can no longer be used. Please start again.,이 링크는 더 이상 쓸 수 없어요. 처음부터 다시 시작해 주세요.,このリンクはもうご利用いただけません。最初からもう一度お試しください。,此連結已無法使用，請重新開始。,ลิงก์นี้ใช้ไม่ได้อีกแล้ว กรุณาเริ่มใหม่อีกครั้ง,Tautan ini tidak bisa digunakan lagi. Silakan mulai dari awal.,Ce lien ne peut plus être utilisé. Veuillez recommencer.,Dieser Link kann nicht mehr verwendet werden. Bitte beginnen Sie von vorn.,Este enlace ya no puede usarse. Empieza de nuevo.,Questo link non può più essere usato. Riprova dall'inizio.,Este link não pode mais ser usado. Comece de novo.,Bu bağlantı artık kullanılamaz. Lütfen baştan başlayın.,"Эта ссылка больше не действительна. Начните, пожалуйста, заново.",لم يعد بالإمكان استخدام هذا الرابط. يرجى البدء من جديد.
error,cooldown_active,You can request a new code in just a moment.,코드는 잠시 후에 다시 받으실 수 있어요.,コードは少ししてからもう一度受け取れます。,稍待片刻即可再次取得驗證碼。,คุณสามารถขอรหัสใหม่ได้ในอีกสักครู่,Anda bisa meminta kode baru sebentar lagi.,Vous pourrez demander un nouveau code dans un instant.,Sie können in Kürze einen neuen Code anfordern.,Podrás pedir un nuevo código en un momento.,Potrai richiedere un nuovo codice tra un momento.,Você poderá pedir um novo código em instantes.,Az sonra yeni bir kod isteyebilirsiniz.,Чуть позже вы сможете запросить новый код.,يمكنك طلب رمز جديد بعد قليل.
error,too_many_attempts,Too many tries — please try again in a little while.,시도가 많아 잠시만 멈췄어요. 잠시 후 다시 시도해 주세요.,試行が多くなりましたので、しばらくお待ちください。少し時間をおいてからもう一度お試しください。,嘗試次數較多，請稍後再試一次。,ลองหลายครั้งแล้ว กรุณาพักสักครู่แล้วลองอีกครั้ง,Terlalu banyak percobaan — silakan coba lagi sebentar.,Trop de tentatives — veuillez réessayer dans un instant.,Zu viele Versuche — bitte warten Sie einen Moment und versuchen Sie es dann erneut.,Demasiados intentos. Inténtalo de nuevo en un momento.,Troppi tentativi — riprova tra poco.,Muitas tentativas — tente novamente em instantes.,Çok fazla deneme oldu — lütfen az sonra tekrar deneyin.,"Слишком много попыток — попробуйте, пожалуйста, чуть позже.",محاولات كثيرة — يرجى المحاولة بعد قليل.
error,# Email errors,,,,,,,,,,,,,,
error,email_send_failed,We couldn't send the email. Please try again shortly.,메일을 보내지 못했어요. 잠시 후 다시 시도해 주세요.,メールを送信できませんでした。少し時間をおいてからもう一度お試しください。,我們無法寄送郵件，請稍後再試。,เราไม่สามารถส่งอีเมลได้ กรุณาลองอีกครั้งในอีกสักครู่,Kami tidak bisa mengirim email. Silakan coba lagi sebentar.,Nous n'avons pas pu envoyer l'e-mail. Veuillez réessayer dans un instant.,Wir konnten die E-Mail nicht senden. Bitte versuchen Sie es gleich erneut.,No pudimos enviar el correo. Inténtalo de nuevo en un momento.,Non siamo riusciti a inviare l'email. Riprova tra poco.,Não conseguimos enviar o e-mail. Tente novamente em breve.,E-postayı gönderemedik. Lütfen az sonra tekrar deneyin.,"Не удалось отправить письмо. Попробуйте, пожалуйста, чуть позже.",تعذّر إرسال البريد الإلكتروني. يرجى المحاولة بعد قليل.
error,# Social login errors,,,,,,,,,,,,,,
error,social_auth_failed,Sign-in didn't go through. Please try again.,로그인이 닿지 못했어요. 다시 시도해 주세요.,サインインが完了しませんでした。もう一度お試しください。,登入未能完成，請再試一次。,การเข้าสู่ระบบไม่สำเร็จ กรุณาลองอีกครั้ง,Masuk belum berhasil. Silakan coba lagi.,La connexion n'a pas abouti. Veuillez réessayer.,Die Anmeldung kam nicht durch. Bitte versuchen Sie es erneut.,El inicio de sesión no se completó. Inténtalo de nuevo.,L'accesso non è andato a buon fine. Riprova.,O login não foi concluído. Tente novamente.,Giriş tamamlanamadı. Lütfen tekrar deneyin.,"Вход не прошёл. Попробуйте, пожалуйста, ещё раз.",لم يكتمل تسجيل الدخول. يرجى المحاولة مرة أخرى.
error,social_not_configured,This sign-in method isn't ready yet.,이 로그인 방법은 아직 준비 중이에요.,このサインイン方法はまだご利用いただけません。,此登入方式尚未準備就緒。,วิธีเข้าสู่ระบบนี้ยังไม่พร้อมใช้งาน,Metode masuk ini belum siap.,Cette méthode de connexion n'est pas encore prête.,Diese Anmeldemethode ist noch nicht verfügbar.,Este método de inicio de sesión aún no está listo.,Questo metodo di accesso non è ancora pronto.,Este método de entrada ainda não está pronto.,Bu giriş yöntemi henüz hazır değil.,Этот способ входа пока недоступен.,طريقة تسجيل الدخول هذه ليست جاهزة بعد.
error,social_auto_merge_refused,"An Ailom account may already use this email. Please sign in with your existing method, then connect this one from settings.","이 이메일로 사용 중인 Ailom 계정이 있을 수 있어요. 기존에 사용하시던 방법으로 들어오신 뒤, 설정에서 이 로그인 방법을 함께 연결할 수 있어요.","このメールアドレスをすでにご利用中のAilomアカウントがあるかもしれません。これまで使われていた方法で入っていただいたあと、設定からこの方法を一緒につなげていただけます。","這個電子郵件可能已經有對應的 Ailom 帳號。請先用您原本的方式登入，再到設定中將此登入方式一起連結。","อาจมีบัญชี Ailom ที่ใช้อีเมลนี้อยู่แล้ว กรุณาเข้าสู่ระบบด้วยวิธีเดิมของคุณ แล้วไปเชื่อมโยงวิธีนี้ในหน้าตั้งค่า","Mungkin sudah ada akun Ailom yang menggunakan email ini. Silakan masuk dengan cara yang biasa Anda gunakan, lalu hubungkan metode ini dari pengaturan.","Un compte Ailom utilise peut-être déjà cette adresse e-mail. Connectez-vous avec votre méthode habituelle, puis reliez celle-ci depuis les paramètres.","Möglicherweise nutzt bereits ein Ailom-Konto diese E-Mail. Bitte melden Sie sich mit Ihrer bisherigen Methode an und verknüpfen Sie diese dann in den Einstellungen.","Es posible que ya exista una cuenta de Ailom con este correo. Inicia sesión con tu método habitual y luego conecta este desde ajustes.","Potrebbe esistere già un account Ailom con questa email. Accedi con il metodo che usi di solito, poi collega questo dalle impostazioni.","Pode já existir uma conta Ailom usando este e-mail. Entre com o método que você costuma usar e depois conecte este nas configurações.","Bu e-postayla kullanılan bir Ailom hesabı olabilir. Lütfen alışkın olduğunuz yöntemle girin, ardından bu yöntemi ayarlardan bağlayın.","Возможно, аккаунт Ailom с этой почтой уже существует. Войдите, пожалуйста, привычным способом, а затем подключите этот в настройках.","قد يكون هناك حساب Ailom يستخدم هذا البريد بالفعل. يرجى تسجيل الدخول بالطريقة التي اعتدتها، ثم ربط هذه الطريقة من الإعدادات."
error,# Identity errors,,,,,,,,,,,,,,
error,identity_already_linked,This sign-in method is already connected to another Ailom account.,이 로그인 방법은 다른 Ailom 계정에 이미 연결되어 있어요.,このサインイン方法は、すでに別のAilomアカウントに連携されています。,此登入方式已連結至另一個 Ailom 帳號。,วิธีเข้าสู่ระบบนี้ถูกเชื่อมโยงกับบัญชี Ailom อื่นแล้ว,Metode masuk ini sudah terhubung dengan akun Ailom lain.,Cette méthode de connexion est déjà reliée à un autre compte Ailom.,Diese Anmeldemethode ist bereits mit einem anderen Ailom-Konto verknüpft.,Este método de inicio de sesión ya está conectado a otra cuenta de Ailom.,Questo metodo di accesso è già collegato a un altro account Ailom.,Este método de entrada já está conectado a outra conta Ailom.,Bu giriş yöntemi zaten başka bir Ailom hesabına bağlı.,Этот способ входа уже привязан к другому аккаунту Ailom.,طريقة تسجيل الدخول هذه مرتبطة بالفعل بحساب Ailom آخر.
error,identity_type_taken,This sign-in method is already on your account.,이 로그인 방법은 이미 연결되어 있어요.,このサインイン方法はすでにご利用中のアカウントに連携済みです。,此登入方式已連結至您的帳號。,วิธีเข้าสู่ระบบนี้เชื่อมโยงกับบัญชีของคุณอยู่แล้ว,Metode masuk ini sudah ada di akun Anda.,Cette méthode de connexion est déjà reliée à votre compte.,Diese Anmeldemethode ist bereits mit Ihrem Konto verknüpft.,Este método de inicio de sesión ya está en tu cuenta.,Questo metodo di accesso è già presente nel tuo account.,Este método de entrada já está na sua conta.,Bu giriş yöntemi zaten hesabınıza bağlı.,Этот способ входа уже есть в вашем аккаунте.,طريقة تسجيل الدخول هذه مرتبطة بحسابك بالفعل.
error,last_identity_protected,This is your only sign-in method right now. Please connect another method first.,지금은 이 방법 하나로만 들어오실 수 있어요. 다른 로그인 방법을 먼저 연결해 주세요.,現在はこの方法のみでサインインいただけます。先に別のサインイン方法を連携してください。,目前只剩這個登入方式可使用，請先連結其他登入方式。,ขณะนี้คุณเข้าสู่ระบบได้ด้วยวิธีนี้เพียงวิธีเดียว กรุณาเชื่อมโยงวิธีเข้าสู่ระบบอื่นก่อน,Saat ini Anda hanya memiliki satu metode masuk. Silakan hubungkan metode lain terlebih dahulu.,C'est actuellement votre seule méthode de connexion. Veuillez en connecter une autre d'abord.,Das ist im Moment Ihre einzige Anmeldemethode. Bitte verknüpfen Sie zuerst eine weitere.,Ahora mismo es tu única forma de iniciar sesión. Conecta primero otro método.,Per ora è il tuo unico metodo di accesso. Collega prima un altro metodo.,"Por enquanto, este é seu único método de entrada. Conecte outro método primeiro.",Şu an tek giriş yönteminiz bu. Lütfen önce başka bir yöntem bağlayın.,"Сейчас это ваш единственный способ входа. Подключите, пожалуйста, сначала другой.",هذه طريقة تسجيل الدخول الوحيدة لديك حاليًا. يرجى ربط طريقة أخرى أولاً.
error,# Consent errors,,,,,,,,,,,,,,
error,consent_required,Please agree to the required items so we can continue.,필수 항목에 동의해 주시면 이어서 진행해 드릴게요.,必須項目にご同意いただけましたら、続きにお進みいただけます。,請先同意必要項目，我們就能繼續為您處理。,เมื่อคุณยอมรับรายการที่จำเป็น เราจะดำเนินการต่อให้คุณ,"Setelah Anda menyetujui item yang wajib, kami akan melanjutkan untuk Anda.",Acceptez les éléments obligatoires et nous pourrons poursuivre.,"Bitte stimmen Sie den erforderlichen Punkten zu, dann führen wir Sie weiter.",Acepta los elementos obligatorios y seguiremos contigo.,Accetta gli elementi obbligatori e potremo proseguire insieme.,Aceite os itens obrigatórios e seguimos com você.,Gerekli maddeleri onayladığınızda sizin için devam edeceğiz.,"Согласитесь, пожалуйста, с обязательными пунктами, и мы продолжим вместе.",عند موافقتك على البنود المطلوبة، سنتابع معك.
error,invalid_consent_version,"The terms have been updated. Please take a look at what's new and agree once more.","약관이 새로워졌어요. 변경된 내용을 확인하시고 다시 한 번 동의해 주세요.","規約が新しくなりました。変更内容をご確認のうえ、もう一度ご同意ください。","條款已更新，請查看更新內容並再次同意。","ข้อตกลงได้รับการปรับปรุง กรุณาดูรายละเอียดใหม่และยืนยันความยินยอมอีกครั้ง","Ketentuan telah diperbarui. Silakan lihat perubahannya dan setujui sekali lagi.","Les conditions ont été mises à jour. Veuillez consulter les nouveautés et donner votre accord à nouveau.","Die Bedingungen wurden aktualisiert. Bitte sehen Sie sich das Neue an und stimmen Sie noch einmal zu.","Los términos se han actualizado. Echa un vistazo a las novedades y vuelve a dar tu consentimiento.","Le condizioni sono state aggiornate. Dai un'occhiata alle novità e dai di nuovo il tuo consenso.","As condições foram atualizadas. Veja o que mudou e dê seu consentimento novamente.","Koşullar güncellendi. Yeniliklere göz atıp bir kez daha onaylar mısınız?","Условия обновлены. Посмотрите, пожалуйста, что нового, и подтвердите согласие ещё раз.","تم تحديث الشروط. يرجى الاطلاع على ما هو جديد والموافقة مرة أخرى."
error,# Signup token errors,,,,,,,,,,,,,,
error,invalid_signup_token,We lost the connection for a moment. Please start again from the beginning.,연결이 잠시 끊겼어요. 처음부터 다시 시작해 주세요.,接続が一瞬途切れました。最初からもう一度お試しください。,連線一度中斷了，請從頭再試一次。,การเชื่อมต่อขาดไปครู่หนึ่ง กรุณาเริ่มต้นใหม่ตั้งแต่แรก,Koneksi terputus sebentar. Silakan mulai lagi dari awal.,La connexion s'est interrompue un instant. Veuillez recommencer depuis le début.,Die Verbindung wurde kurz unterbrochen. Bitte beginnen Sie von vorn.,La conexión se interrumpió un momento. Empieza de nuevo desde el principio.,La connessione si è interrotta un momento. Riprova dall'inizio.,A conexão se perdeu por um instante. Comece novamente desde o início.,Bağlantı bir an koptu. Lütfen baştan tekrar başlayın.,"Соединение на мгновение прервалось. Начните, пожалуйста, заново с самого начала.",انقطع الاتصال للحظة. يرجى البدء من جديد من البداية.
